ld,paper,chamber,title,committee,status,became_law,chapter,primary_sponsor,cosponsors,subjects,num_sponsors,num_actions,num_roll_calls,num_amendments,latest_action_date,latest_action,ps_url,lawmaker_url
483,HP0312,House,An Act to Authorize a General Fund Bond Issue to Secure Prosperity for Maine Families and Businesses,Appropriations and Financial Affairs,"Died On Adjournment, Apr 29, 2026",False,,Speaker Ryan FECTEAU (Biddeford),,BOND ISSUES,1,4,0,0,2026-04-29,The Bill was in the possession of the Committee on Appropriations and Financial Affairs when the Legislature adjourned Sine Die and was placed in the Legislative Files. ( DEAD ),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0312,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0312&SessionID=16
484,HP0313,House,"An Act to Authorize Certain Emergency Medical Services Providers to Procure, Possess, Administer and Furnish Controlled Substances",Criminal Justice and Public Safety,Enacted (ch. 654),True,654,Rep. Tavis HASENFUS (Readfield),,PUBLIC SAFETY DEPT,1,7,0,1,2026-04-09,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0313,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0313&SessionID=16
485,HP0314,House,An Act Regarding Criminal Justice,Criminal Justice and Public Safety,"Leave to Withdraw, Mar 30, 2026",False,,Rep. Tavis HASENFUS (Readfield),,CRIMINAL PROCEDURE,1,4,0,0,2026-03-30,"Pursuant to Joint Rule 310.5, Placed in Legislative Files ( DEAD ).",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0314,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0314&SessionID=16
486,HP0315,House,An Act to Remove the Duty of an Individual Exercising Self-defense to Safely Retreat or Abstain from Performing Certain Acts upon Demand,Criminal Justice and Public Safety,"Accepted Majority (ONTP) Report, May 20, 2025",False,,Rep. Chad PERKINS (Dover-Foxcroft),Rep. Donald ARDELL (Monticello); Rep. Mark BABIN (Fort Fairfield); Rep. Elizabeth CARUSO (Caratunk); Sen. Scott CYRWAY (Kennebec); Rep. John EDER (Waterboro); Rep. Mathew MCINTYRE (Lowell); Rep. Arthur MINGO (Calais); Rep. Robert NUTTING (Oakland); Rep. James WHITE (Guilford),CRIMES,10,7,2,0,2025-05-20,"Taken from the table by the President On motion by Senator STEWART of Aroostook ACCEPTANCE of The Minority Ought to Pass Report FAILED Roll Call Ordered Roll Call Number 185 Yeas 15 - Nays 17 - Excused 3 - Absent 0 Subsequently, The Majority Ought Not To Pass Report ACCEPTED in concurrence Placed in Legislative Files (DEAD)",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0315,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0315&SessionID=16
487,HP0316,House,"Resolve, Directing the Northern New England Passenger Rail Authority to Apply for Federal Funding for the Purpose of Identifying the Rail Corridor Connecting Portland to Orono as an Intercity Passenger Rail Corridor",Transportation,"Died Between Houses, May 29, 2025",False,,Rep. Tavis HASENFUS (Readfield),Sen. Joseph BALDACCI (Penobscot); Rep. Steven BISHOP (Bucksport); Sen. Scott CYRWAY (Kennebec); Rep. John DUCHARME (Madison); Rep. Kenneth FREDETTE (Newport); Sen. Craig HICKMAN (Kennebec); Rep. Karen MONTELL (Gardiner); Rep. Matt MOONEN (Portland); Rep. Daniel SAYRE (Kennebunk),RAILROADS,10,10,5,1,2025-05-29,"Taken from the table by the President Motion by Senator STEWART of Aroostook moved to INDEFINITELY POSTPONE Bill and it's accompanying papers. FAILED Roll Call Ordered Roll Call Number 266 Yeas 13 - Nays 22 - Excused 0 - Absent 0 Subsequently, ACCEPTANCE of The Minority Ought to Pass As Amended by Committee Amendment ""A"" (H-117) Report FAILED. On motion by Senator STEWART of Aroostook INDEFINITE POSTPONEMENT of Bill and it's accompanying papers PREVAILED Roll Call Ordered Roll Call Number 268 Yeas 18 - Nays 17 - Excused 0 - Absent 0 Placed in Legislative Files (DEAD)",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0316,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0316&SessionID=16
488,HP0317,House,An Act to Protect Coastal Property by Allowing Property Owners to Protect Their Existing Dwellings,Environment and Natural Resources,"Accepted Majority (ONTP) Report, Apr 10, 2025",False,,Rep. Randall HALL (Wilton),Rep. Mark COOPER (Windham); Rep. Caldwell JACKSON (Oxford); Rep. Nathan WADSWORTH (Hiram),COASTAL AREAS,4,4,2,0,2025-04-10,Reports Read On motion by Senator TEPLER of Sagadahoc the Majority Ought Not to Pass Report ACCEPTED . in concurrence PREVAILED Roll Call Ordered Roll Call Number 101 Yeas 20 - Nays 14 - Excused 1 - Absent 0 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0317,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0317&SessionID=16
489,HP0318,House,An Act to Provide for a Vessel Breakdown License Exception for Commercial Halibut Fishing License Holders,Marine Resources,Enacted (ch. 60),True,60,Rep. Tiffany STROUT (Harrington),Rep. Gary DRINKWATER (Milford); Rep. Sheila LYMAN (Livermore Falls); Sen. Marianne MOORE (Washington); Rep. Tracy QUINT (Hodgdon); Sen. Cameron RENY (Lincoln); Rep. William TUELL (East Machias),COMMERCIAL FISHING,7,6,0,1,2025-05-07,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0318,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0318&SessionID=16
490,HP0319,House,An Act to Provide for a 5-year Automatic Repeal of Agency Rules,State and Local Government,"Accepted Majority (ONTP) Report, Jun 2, 2025",False,,Rep. Katrina SMITH (Palermo),Rep. Alicia COLLINS (Sidney); Rep. Kimberly HAGGAN (Hampden); Rep. Arthur MINGO (Calais); Rep. Joshua MORRIS (Turner); Rep. Rolf OLSEN (Raymond); Rep. Chad PERKINS (Dover-Foxcroft); Rep. Michael SOBOLESKI (Phillips),STATE GOVERNMENT,8,4,0,1,2025-06-02,Reports READ On motion by Senator PIERCE of Cumberland The Majority Ought Not To Pass Report ACCEPTED in concurrence. Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0319,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0319&SessionID=16
491,HP0320,House,"Resolve, Requiring the Director of the Bureau of Parks and Lands to Convey Certain Real Property in the Town of Richmond","Agriculture, Conservation and Forestry",Enacted (ch. 24),True,24,Rep. Sally CLUCHEY (Bowdoinham),Sen. Denise TEPLER (Sagadahoc),STATE GOVERNMENT,2,6,0,1,2025-04-30,"FINALLY PASSED - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0320,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0320&SessionID=16
492,HP0321,House,"RESOLUTION, Proposing an Amendment to the Constitution of Maine to Provide for Parental Rights",Judiciary,"Accepted Majority (ONTP) Report, May 20, 2025",False,,Rep. Jennifer POIRIER (Skowhegan),Rep. John DUCHARME (Madison); Rep. Irene GIFFORD (Lincoln); Rep. Abigail GRIFFIN (Levant); Sen. David HAGGAN (Penobscot); Rep. Kimberly HAGGAN (Hampden); Rep. Sheila LYMAN (Livermore Falls); Rep. Tracy QUINT (Hodgdon); Rep. James THORNE (Carmel); Rep. Nathan WADSWORTH (Hiram),DOMESTIC RELATIONS,10,4,2,1,2025-05-20,Reports Read On motion by Senator CARNEY of Cumberland the Minority Ought Not to Pass Report ACCEPTED . in concurrence PREVAILED Roll Call Ordered Roll Call Number 179 Yeas 19 - Nays 13 - Excused 3 - Absent 0 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0321,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0321&SessionID=16
493,HP0322,House,An Act to Expand Testing for Perfluoroalkyl and Polyfluoroalkyl Substances to Private Drinking Water Wells,Health and Human Services,Enacted (ch. 746),True,746,Rep. Laurie OSHER (Orono),Sen. Richard BENNETT (Oxford); Rep. Deqa DHALAC (South Portland); Rep. Victoria DOUDERA (Camden); Rep. Lori GRAMLICH (Old Orchard Beach); Sen. Henry INGWERSEN (York); Rep. Ambureen RANA (Bangor); Sen. Denise TEPLER (Sagadahoc); Rep. Samuel ZAGER (Portland),PUBLIC SAFETY,9,12,3,3,2026-04-14,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0322,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0322&SessionID=16
494,HP0323,House,An Act to Update and Clarify Certain Provisions of State Liquor and Lottery Laws,Veterans and Legal Affairs,Enacted (ch. 230),True,230,Rep. Laura SUPICA (Bangor),Rep. Victoria DOUDERA (Camden); Rep. Timothy GUERRETTE (Caribou),ALCOHOLIC BEVERAGES,3,6,0,1,2025-06-03,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0323,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0323&SessionID=16
495,HP0324,House,An Act to Require Rules Designed to Reduce Climate Change to Include Estimates of the Reduction in Adverse Climate Effects and of the Cost to Consumers,Environment and Natural Resources,"Accepted Majority (ONTP) Report, Apr 10, 2025",False,,Rep. Billy Bob FAULKINGHAM (Winter Harbor),Rep. Richard CAMPBELL (Orrington); Rep. John DUCHARME (Madison); Rep. Steven FOSTER (Dexter); Sen. Matthew HARRINGTON (York); Rep. Mathew MCINTYRE (Lowell); Rep. Wayne PARRY (Arundel); Rep. Reagan PAUL (Winterport); Rep. Katrina SMITH (Palermo); Rep. Nathan WADSWORTH (Hiram),ENVIRONMENTAL AWARENESS,10,4,2,0,2025-04-10,Reports Read On motion by Senator TEPLER of Sagadahoc the Majority Ought Not to Pass Report ACCEPTED . in concurrence PREVAILED Roll Call Ordered Roll Call Number 102 Yeas 20 - Nays 14 - Excused 1 - Absent 0 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0324,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0324&SessionID=16
496,HP0325,House,An Act Regarding the Issuance of Silver Alerts,Criminal Justice and Public Safety,Enacted (ch. 709),True,709,Rep. Nina MILLIKEN (Blue Hill),Sen. Glenn CURRY (Waldo); Rep. Janice DODGE (Belfast); Rep. Laura SUPICA (Bangor),ELDERLY,4,8,0,1,2026-04-13,"On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table. Subsequently, PASSED TO BE ENACTED in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0325,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0325&SessionID=16
497,HP0326,House,An Act Regarding the Regulation of Significant Vernal Pools Under the Natural Resources Protection Act,Environment and Natural Resources,Enacted (ch. 338),True,338,Rep. Victoria DOUDERA (Camden),Sen. Denise TEPLER (Sagadahoc),ENVIRONMENTAL PROTECTION DEPT,2,6,2,1,2025-06-11,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0326,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0326&SessionID=16
498,HP0327,House,"Resolve, to Improve Standards for Animal Rescue Entities","Agriculture, Conservation and Forestry","Ought Not to Pass Pursuant To Joint Rule 310, Mar 20, 2025",False,,Rep. Chad PERKINS (Dover-Foxcroft),Rep. Mark BABIN (Fort Fairfield); Sen. Scott CYRWAY (Kennebec); Rep. Mathew MCINTYRE (Lowell); Rep. Arthur MINGO (Calais); Rep. Robert NUTTING (Oakland); Rep. James WHITE (Guilford),ANIMAL WELFARE,7,2,0,0,2025-03-20,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0327,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0327&SessionID=16
499,HP0328,House,An Act to Prohibit Geoengineering,Environment and Natural Resources,"Accepted Majority (ONTP) Report, Apr 30, 2025",False,,Rep. Tammy SCHMERSAL-BURGESS (Mexico),Rep. Kathy JAVNER (Chester); Rep. Thomas LAVIGNE (Berwick); Rep. Michael LEMELIN (Chelsea); Rep. Sheila LYMAN (Livermore Falls); Rep. Richard MASON (Lisbon); Rep. Reagan PAUL (Winterport); Rep. Tracy QUINT (Hodgdon); Rep. Michael SOBOLESKI (Phillips),ENVIRONMENTAL AWARENESS,9,4,1,1,2025-04-30,Reports Read On motion by Senator TEPLER of Sagadahoc the Majority Ought Not to Pass Report ACCEPTED . Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0328,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0328&SessionID=16
