ld,paper,chamber,title,committee,status,became_law,chapter,primary_sponsor,cosponsors,subjects,num_sponsors,num_actions,num_roll_calls,num_amendments,latest_action_date,latest_action,ps_url,lawmaker_url
1,SP0029,Senate,"An Act to Increase Storm Preparedness for Maine's Communities, Homes and Infrastructure",Housing and Economic Development,Enacted (ch. 33),True,33,President Matthea DAUGHTRY (Cumberland),Rep. Billy Bob FAULKINGHAM (Winter Harbor); Speaker Ryan FECTEAU (Biddeford); Sen. Harold STEWART (Aroostook),,4,10,0,1,2025-04-22,"Taken from the table by the President PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0029,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0029&SessionID=16
2,SP0011,Senate,An Act to Allow Military Vehicles Purchased for Civilian Use to Be Registered and Operated on Maine Roads,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 1, 2025",False,,Sen. James LIBBY (Cumberland),Rep. Kimberly POMERLEAU (Standish),MOTOR VEHICLES,2,3,0,0,2025-04-01,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0011,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0011&SessionID=16
3,SP0012,Senate,An Act to Adopt Eastern Daylight Time Year-round Contingent on Federal Approval,State and Local Government,Enacted (ch. 191),True,191,Sen. Richard BENNETT (Oxford),Sen. Joseph BALDACCI (Penobscot); Rep. Christopher KESSLER (South Portland),STATE GOVERNMENT,3,6,0,1,2025-06-02,"Reports READ . On motion of Representative SALISBURY of Westbrook, the Majority Ought to Pass as Amended Report was ACCEPTED . The Bill was READ ONCE . Committee Amendment ""A"" (S-180) was READ and ADOPTED . Under suspension of the rules, the Bill was given its SECOND READING without REFERENCE to the Committee on Bills in the Second Reading . The Bill was PASSED TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-180) . In concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0012,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0012&SessionID=16
4,SP0013,Senate,An Act to Adopt Eastern Standard Time Year-round,State and Local Government,"Indefinitely Postponed, Jun 10, 2025",False,,Sen. Richard BENNETT (Oxford),Sen. Joseph BALDACCI (Penobscot); Rep. Christopher KESSLER (South Portland),STATE GOVERNMENT,3,12,0,2,2025-06-10,"Taken from the table by the President Senator STEWART of Aroostook asked and received leave of the Senate to Withdraw their Rollcall. Subsequently, the Bill and accompanying papers were INDEFINITELY POSTPONED . Sent down for concurrence",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0013,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0013&SessionID=16
5,SP0014,Senate,An Act to Clarify the Law Regarding Prior Authorization for Air Ambulances,"Health Coverage, Insurance and Financial Services",Enacted (ch. 34),True,34,Sen. Donna BAILEY (York),,INSURANCE,1,6,1,1,2025-04-17,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0014,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0014&SessionID=16
6,SP0018,Senate,An Act to Allow Persons to Label Their Wild Animal Traps with Their Online Identification Number Issued by the Department of Inland Fisheries and Wildlife,Inland Fisheries and Wildlife,Enacted (ch. 64),True,64,Sen. Russell BLACK (Franklin),,TRAPPING,1,8,1,1,2025-05-07,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0018,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0018&SessionID=16
7,SP0019,Senate,An Act to Increase the Homestead Property Tax Exemption for Residents 65 Years of Age or Older,Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",False,,Sen. Richard BENNETT (Oxford),Sen. Stacy BRENNER (Cumberland); Rep. Nathan CARLOW (Buxton); Sen. James LIBBY (Cumberland); Sen. Harold STEWART (Aroostook),PROPERTY TAX,5,3,0,0,2025-04-08,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0019,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0019&SessionID=16
8,SP0020,Senate,An Act Regarding the Term of Appointment of Judicial Officers,Judiciary,Enacted (ch. 124),True,124,Sen. Anne CARNEY (Cumberland),,COURTS,1,6,0,1,2025-05-27,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0020,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0020&SessionID=16
9,SP0022,Senate,An Act Regarding Campaign Finance Disclosure,Veterans and Legal Affairs,Enacted (ch. 224),True,224,Sen. Craig HICKMAN (Kennebec),,ELECTIONS,1,6,0,1,2025-06-03,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0022,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0022&SessionID=16
10,SP0023,Senate,An Act to Add Political Affiliation as a Protected Class to the Maine Human Rights Act,Judiciary,"Accepted Majority (ONTP) Report, Jun 4, 2025",False,,Sen. James LIBBY (Cumberland),,HUMAN RIGHTS,1,4,0,1,2025-06-04,"Reports READ . On motion of Representative KUHN of Falmouth, the Majority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0023,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0023&SessionID=16
11,SP0024,Senate,An Act Regarding Temperature Standards for School Buildings,Education and Cultural Affairs,Enacted (ch. 308),True,308,Sen. Richard BENNETT (Oxford),,SCHOOL FACILITIES,1,6,0,1,2025-06-02,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0024,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0024&SessionID=16
12,SP0025,Senate,An Act to Amend the Freedom of Access Act to Apply to Legislative Caucuses,Judiciary,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",False,,Sen. Richard BENNETT (Oxford),,FREEDOM OF ACCESS,1,3,0,0,2025-04-08,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0025,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0025&SessionID=16
13,SP0026,Senate,An Act to Provide Funds Necessary for the Production and Delivery of Election Materials by the Secretary of State,Veterans and Legal Affairs,"Died On Adjournment, Apr 29, 2026",False,,Sen. Craig HICKMAN (Kennebec),Sen. Richard BENNETT (Oxford); Sen. Stacy BRENNER (Cumberland); President Matthea DAUGHTRY (Cumberland); Rep. Morgan RIELLY (Westbrook); Rep. Laura SUPICA (Bangor),ELECTIONS,6,8,0,1,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0026,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0026&SessionID=16
14,SP0027,Senate,An Act to Provide Indigenous Peoples Free Access to State Parks,"Agriculture, Conservation and Forestry",Enacted (ch. 707),True,707,Sen. Craig HICKMAN (Kennebec),Sen. Donna BAILEY (York); Sen. Richard BENNETT (Oxford); Speaker Ryan FECTEAU (Biddeford); Rep. Tavis HASENFUS (Readfield); Sen. Michael TIPPING (Penobscot),PUBLIC LANDS,6,8,1,1,2026-04-13,"On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table. Subsequently, PASSED TO BE ENACTED in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0027,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0027&SessionID=16
15,SP0062,Senate,An Act to Modify the Excise Tax on Camper Trailers,Taxation,Enacted (ch. 523),True,523,Sen. James LIBBY (Cumberland),Rep. Kimberly POMERLEAU (Standish); Rep. Mark WALKER (Naples),MISCELLANEOUS TAXES,3,7,0,1,2025-07-08,HELD BY THE GOVERNOR.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0062,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0062&SessionID=16
16,SP0063,Senate,An Act to Establish Separate Prosecutorial Districts in Downeast Maine,Judiciary,"Died Between Houses, May 29, 2025",False,,Sen. Marianne MOORE (Washington),Rep. Aaron DANA of the Passamaquoddy Tribe Senator Nicole GROHOSKI (Hancock); Rep. Mathew MCINTYRE (Lowell); Rep. Nina MILLIKEN (Blue Hill); Rep. Arthur MINGO (Calais); Rep. Tiffany STROUT (Harrington); Rep. William TUELL (East Machias),COURTS,7,8,5,1,2025-05-29,The House INSISTED on ACCEPTANCE of the Majority Ought Not to Pass Report Motion of Representative FAULKINGHAM or Winter Harbor to RECONSIDER FAILED . ROLL CALL NO. 226 (Yeas 68 - Nays 73 - Absent 10 - Excused 0) ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD ),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0063,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0063&SessionID=16
17,SP0028,Senate,An Act to Designate the Warden of the Maine State Prison as Chief Administrative Officer of the Bolduc Correctional Facility,Criminal Justice and Public Safety,Enacted (ch. 4),True,4,Sen. Anne BEEBE-CENTER (Knox),,CORRECTIONAL INSTITUTIONS,1,5,0,0,2025-03-18,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0028,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0028&SessionID=16
18,SP0030,Senate,An Act to Offset the Costs of Client Medical Care Support Workers at Department of Corrections Facilities and Study Correctional Service Fees and Collections,Criminal Justice and Public Safety,"Died On Adjournment, Apr 29, 2026",False,,Sen. Marianne MOORE (Washington),,CORRECTIONAL INSTITUTIONS,1,8,0,2,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0030,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0030&SessionID=16
19,SP0032,Senate,An Act Related to Oversized All-terrain Vehicles,Inland Fisheries and Wildlife,"Died On Adjournment, Apr 29, 2026",False,,Sen. Marianne MOORE (Washington),Rep. William TUELL (East Machias),RECREATION,2,8,2,3,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0032,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0032&SessionID=16
20,SP0033,Senate,An Act Regarding the First Judicial District and the District Court Locations in the Judicial Divisions of Androscoggin and Western Aroostook,Judiciary,Enacted (ch. 436),True,436,Sen. Anne CARNEY (Cumberland),,COURTS,1,7,0,1,2025-06-25,On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED in concurrence.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0033,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0033&SessionID=16
21,SP0034,Senate,An Act to Update the Provision of Law Concerning Student Codes of Conduct in Order to Reflect Best Practices Regarding Behavioral Threat Assessment and Response,Education and Cultural Affairs,Enacted (ch. 125),True,125,Sen. Joseph RAFFERTY (York),,SCHOOL POLICIES,1,6,2,0,2025-05-27,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0034,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0034&SessionID=16
22,SP0035,Senate,An Act to Update the Laws Governing Education in the Unorganized Territory,Education and Cultural Affairs,Enacted (ch. 437),True,437,Sen. Joseph RAFFERTY (York),,SCHOOL ADMINISTRATION,1,7,0,1,2025-06-25,On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED in concurrence.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0035,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0035&SessionID=16
23,SP0037,Senate,An Act to Extend the Period of Time a Dentist May Operate the Practice of a Deceased or Incapacitated Dentist,"Health Coverage, Insurance and Financial Services",Enacted (ch. 121),True,121,Sen. Richard BENNETT (Oxford),Rep. Nathan WADSWORTH (Hiram),HEALTH CARE PERSONNEL,2,6,0,1,2025-05-27,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0037,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0037&SessionID=16
24,SP0039,Senate,"Resolve, Authorizing the Director of the Bureau of Parks and Lands to Convey Public Land Parcels in Lincoln Plantation and Sandy River Plantation","Agriculture, Conservation and Forestry",Enacted (ch. 22),True,22,Sen. Russell BLACK (Franklin),,PUBLIC LANDS,1,6,0,1,2025-04-29,"FINALLY PASSED - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0039,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0039&SessionID=16
25,SP0040,Senate,An Act to Authorize a General Fund Bond Issue to Fund Wastewater Treatment Facility Planning and Construction of Infrastructure Projects,Appropriations and Financial Affairs,"Died On Adjournment, Apr 29, 2026",False,,Sen. Stacy BRENNER (Cumberland),,BOND ISSUES,1,4,0,0,2026-04-29,Died in Possession of the Committee Upon Conclusion of the 132nd Legislature and PLACED IN THE LEGISLATIVE FILES ( DEAD ).,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0040,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0040&SessionID=16
26,SP0041,Senate,An Act to Add an Inflation Adjustment to the Maximum Amount of Funding Disbursed from the Maine Ground and Surface Waters Clean-up and Response Fund for Certain Personal Services of the Department of Environmental Protection,Environment and Natural Resources,Enacted (ch. 94),True,94,Sen. Anne CARNEY (Cumberland),,ENVIRONMENTAL PROTECTION DEPT,1,6,0,1,2025-05-21,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0041,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0041&SessionID=16
27,SP0042,Senate,An Act to Amend and Simplify Certain Inland Fisheries and Wildlife Licensing and Permitting Laws,Inland Fisheries and Wildlife,Enacted (ch. 126),True,126,Sen. Anne CARNEY (Cumberland),,HUNTING,1,6,0,1,2025-05-27,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0042,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0042&SessionID=16
28,SP0045,Senate,"Resolve, to Rename the Twin Rivers Fire Academy in Fairfield the Duane Bickford Fire Training Facility",Criminal Justice and Public Safety,Enacted (ch. 28),True,28,Sen. Scott CYRWAY (Kennebec),Sen. Richard BRADSTREET (Kennebec),FIRE SAFETY,2,6,0,1,2025-05-13,"FINALLY PASSED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0045,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0045&SessionID=16
29,SP0046,Senate,"Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council and the Calais Branch Rail Use Advisory Council",Transportation,Enacted (ch. 95),True,95,President Matthea DAUGHTRY (Cumberland),Rep. Sally CLUCHEY (Bowdoinham),RAILROADS,2,13,2,2,2025-06-18,"On motion by Senator NANGLE of Cumberland, TAKEN FROM THE SPECIAL HIGHWAY TABLE . Subsequently, FINALLY PASSED in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0046,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0046&SessionID=16
30,SP0047,Senate,"Resolve, to Direct the Department of Transportation to Implement the Recommendations of the Portland to Auburn Rail Use Advisory Council",Transportation,Enacted (ch. 96),True,96,President Matthea DAUGHTRY (Cumberland),,RAILROADS,1,13,2,2,2025-06-18,"On motion by Senator NANGLE of Cumberland, TAKEN FROM THE SPECIAL HIGHWAY TABLE . Subsequently, FINALLY PASSED in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0047,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0047&SessionID=16
31,SP0048,Senate,An Act Regarding School Enrollment for Military-connected Students,Education and Cultural Affairs,Enacted (ch. 78),True,78,Sen. Bradlee FARRIN (Somerset),President Matthea DAUGHTRY (Cumberland); Sen. David HAGGAN (Penobscot); Sen. Harold STEWART (Aroostook),SCHOOL POLICIES,4,6,0,1,2025-05-14,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0048,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0048&SessionID=16
32,SP0049,Senate,An Act Regarding the Interconnection Ombudsman Position at the Public Utilities Commission,"Energy, Utilities and Technology",Enacted (ch. 680),True,680,Sen. Stacey GUERIN (Penobscot),Rep. Steven FOSTER (Dexter); Rep. Mathew MCINTYRE (Lowell); Rep. Katrina SMITH (Palermo); Rep. Nathan WADSWORTH (Hiram); Rep. James WHITE (Guilford),ELECTRIC UTILITIES,6,7,2,2,2026-04-06,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0049,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0049&SessionID=16
33,SP0051,Senate,An Act to Amend the Laws Governing Fantasy Contests,Veterans and Legal Affairs,Enacted (ch. 95),True,95,Sen. Craig HICKMAN (Kennebec),,GAMBLING,1,6,0,1,2025-05-21,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0051,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0051&SessionID=16
34,SP0053,Senate,An Act to Increase the Minimum Salary for Teachers,Education and Cultural Affairs,"Died On Adjournment, Apr 29, 2026",False,,Sen. Teresa PIERCE (Cumberland),Sen. Richard BENNETT (Oxford); Rep. Michael BRENNAN (Portland); President Matthea DAUGHTRY (Cumberland); Speaker Ryan FECTEAU (Biddeford); Rep. Amy KUHN (Falmouth); Sen. James LIBBY (Cumberland); Rep. Christina MITCHELL (Cumberland); Rep. Kelly MURPHY (Scarborough); Sen. Joseph RAFFERTY (York),TEACHERS,10,8,1,1,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0053,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0053&SessionID=16
35,SP0056,Senate,An Act to Strengthen Local Emergency Medical Services by Increasing the MaineCare Reimbursement Rate for Ambulance Services,Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, Jan 7, 2026",False,,Sen. Glenn CURRY (Waldo),,MEDICAID,1,6,0,1,2026-01-07,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0056,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0056&SessionID=16
36,SP0058,Senate,An Act to Clarify Processes of the Board of Environmental Protection,Environment and Natural Resources,Enacted (ch. 52),True,52,Sen. Denise TEPLER (Sagadahoc),,ENVIRONMENTAL PROTECTION BOARD,1,6,0,1,2025-05-06,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0058,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0058&SessionID=16
37,SP0059,Senate,"Resolve, to Rename a Bridge in Old Orchard Beach the Captain Christopher S. Cash Memorial Bridge",Transportation,Enacted (ch. 11),True,11,Sen. Donna BAILEY (York),Rep. Lori GRAMLICH (Old Orchard Beach),ROADS,2,5,0,0,2025-03-20,"FINALLY PASSED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0059,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0059&SessionID=16
38,SP0061,Senate,An Act Requiring Photographic Identification for Voting,Veterans and Legal Affairs,"Accepted Majority (ONTP) Report, Jun 5, 2025",False,,Sen. Jeffrey TIMBERLAKE (Androscoggin),Sen. Bradlee FARRIN (Somerset); Sen. James LIBBY (Cumberland); Rep. Sheila LYMAN (Livermore Falls); Sen. Harold STEWART (Aroostook),ELECTIONS,5,4,2,1,2025-06-05,"Reports READ . On motion of Representative SUPICA of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 337 (Yeas 72 - Nays 69 - Absent 8 - Excused 2) In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0061,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0061&SessionID=16
39,HP0003,House,An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project,"Agriculture, Conservation and Forestry",Enacted (ch. 96),True,96,Rep. William PLUECKER (Warren),,FORESTRY,1,6,0,1,2025-05-21,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0003,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0003&SessionID=16
40,HP0004,House,An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process,"Agriculture, Conservation and Forestry",Enacted (ch. 29),True,29,Rep. William PLUECKER (Warren),,HUNTING,1,6,0,0,2025-04-15,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0004,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0004&SessionID=16
41,HP0005,House,"Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory",Taxation,Enacted (ch. 94),True,94,Rep. Kristen CLOUTIER (Lewiston),,REVENUE SERVICES BUREAU,1,6,0,0,2025-06-16,CONSENT CALENDAR - FIRST DAY Under suspension of the rules CONSENT CALENDAR - SECOND DAY. The Resolve was PASSED TO BE ENGROSSED. Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0005,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0005&SessionID=16
42,HP0006,House,An Act Regarding the Bind-over and Detention of Juveniles,Criminal Justice and Public Safety,Enacted (ch. 361),True,361,Rep. Suzanne SALISBURY (Westbrook),,JUVENILE OFFENDERS,1,6,0,1,2025-06-16,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0006,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0006&SessionID=16
43,HP0007,House,An Act to Further Protect Victims from Contact Prohibited by Probation Conditions,Judiciary,"Leave to Withdraw, Feb 25, 2025",False,,Rep. Tavis HASENFUS (Readfield),,PROBATION,1,2,0,0,2025-02-25,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0007,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0007&SessionID=16
44,HP0008,House,An Act to Amend the Laws Pertaining to Elver Fishing,Marine Resources,Enacted (ch. 225),True,225,Rep. Allison HEPLER (Woolwich),,FISH,1,6,0,1,2025-06-03,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0008,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0008&SessionID=16
45,HP0009,House,An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities,Criminal Justice and Public Safety,Enacted (ch. 352),True,352,Rep. Adam LEE (Auburn),,PRISONERS,1,6,0,2,2025-06-13,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0009,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0009&SessionID=16
46,HP0010,House,An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder,Education and Cultural Affairs,Enacted (ch. 519),True,519,Rep. Kelly MURPHY (Scarborough),Rep. Janice DODGE (Belfast); Rep. Lori GRAMLICH (Old Orchard Beach); Rep. Amy KUHN (Falmouth); Sen. Teresa PIERCE (Cumberland); Sen. Joseph RAFFERTY (York); Rep. Holly SARGENT (York),SPECIAL EDUCATION,7,11,0,2,2025-07-08,HELD BY THE GOVERNOR.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0010,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0010&SessionID=16
47,HP0011,House,An Act to Provide an Exception to a Fishing Prohibition near the Crooked Brook Dam,Inland Fisheries and Wildlife,Enacted (ch. 41),True,41,Rep. Richard MASON (Lisbon),,FISHING,1,6,0,1,2025-04-23,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0011,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0011&SessionID=16
48,HP0012,House,An Act to Update References to the United States Internal Revenue Code of 1986 Contained in the Maine Revised Statutes,Taxation,Enacted (ch. 432),True,432,Rep. Kristen CLOUTIER (Lewiston),,INCOME TAX,1,7,1,1,2025-06-25,On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED - Emergency -2/3 Elected Required in concurrence.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0012,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0012&SessionID=16
49,HP0013,House,An Act to Ensure Quality in Personal Care Agencies,Health and Human Services,"Leave to Withdraw, Feb 11, 2025",False,,Rep. Kristen CLOUTIER (Lewiston),,HEALTH CARE SERVICES,1,2,0,0,2025-02-11,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0013,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0013&SessionID=16
50,HP0014,House,An Act to Provide the Right of First Refusal to Towns in Which the University of Maine System and Similar Quasi-independent State Entities Are Selling Property,State and Local Government,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 27, 2025",False,,Rep. Janice DODGE (Belfast),Sen. Glenn CURRY (Waldo),UNIVERSITY OF MAINE SYSTEM,2,3,0,0,2025-03-27,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0014,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0014&SessionID=16
