ld,paper,label,adopted,new_title,house_action,senate_action
1,SP0029,"C ""A"" (S-9 )",True,,Adopted on 4/10/2025,Adopted on 4/8/2025
3,SP0012,"C ""A"" (S-180 )",True,,Adopted on 6/2/2025,Adopted on 5/9/2025
4,SP0013,"C ""A"" (S-139 )",False,,,
4,SP0013,"S ""A"" (S-337 ) to C ""A"" (S-139 )",False,,,
5,SP0014,"C ""A"" (S-7 )",False,,,
6,SP0018,"C ""A"" (S-23 )",True,,Adopted on 4/30/2025,Adopted on 4/29/2025
8,SP0020,"C ""A"" (S-106 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
9,SP0022,"C ""A"" (S-219 )",True,,Adopted on 6/2/2025,Adopted on 6/2/2025
10,SP0023,"C ""A"" (S-260 )",False,An Act to Add Political Activity as a Protected Class in Certain Provisions of the Maine Human Rights Act,,
11,SP0024,"C ""A"" (S-142 )",True,,Adopted on 5/28/2025,Adopted on 5/27/2025
13,SP0026,"C ""A"" (S-291 )",True,An Act to Provide Funds Necessary for the Production and Delivery of Election Materials by the Secretary of State,Adopted on 6/9/2025,Adopted on 6/5/2025
14,SP0027,"C ""A"" (S-55 )",True,,Adopted on 5/14/2025,Adopted on 5/13/2025
15,SP0062,"C ""A"" (S-399 )",True,An Act to Modify the Excise Tax on Camper Trailers,Adopted on 6/16/2025,Adopted on 6/13/2025
16,SP0063,"C ""A"" (S-81 )",True,,,Adopted on 5/20/2025
18,SP0030,"C ""A"" (S-268 )",True,An Act to Offset the Costs of Client Medical Care Support Workers at Department of Corrections Facilities and Study Correctional Service Fees and Collections,Adopted on 6/5/2025,Adopted on 6/4/2025
18,SP0030,"C ""B"" (S-269 )",False,,,
19,SP0032,"C ""A"" (S-606 )",False,,Defeated on 4/7/2026,
19,SP0032,"C ""B"" (S-607 )",True,An Act Related to Oversized All-terrain Vehicles,Adopted on 4/7/2026,Adopted on 4/6/2026
19,SP0032,"C ""C"" (S-608 )",False,An Act to Allow Oversized All-terrain Vehicle Registration for Individuals with a Disability Registration Plate,,
20,SP0033,"C ""A"" (S-105 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
22,SP0035,"C ""A"" (S-111 )",True,,Adopted on 5/22/2025,Adopted on 5/21/2025
23,SP0037,"C ""A"" (S-87 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
24,SP0039,"C ""A"" (S-19 )",True,,Adopted on 4/23/2025,Adopted on 4/22/2025
26,SP0041,"C ""A"" (S-64 )",True,,Adopted on 5/14/2025,Adopted on 5/13/2025
27,SP0042,"C ""A"" (S-108 )",True,,Adopted on 5/22/2025,Adopted on 5/21/2025
28,SP0045,"C ""A"" (S-31 )",True,"Resolve, to Rename the Twin Rivers Fire Academy in Fairfield the Duane Bickford Fire Training Facility",Adopted on 5/6/2025,Adopted on 4/30/2025
29,SP0046,"C ""A"" (S-44 )",True,"Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council and the Calais Branch Rail Use Advisory Council",Adopted on 5/27/2025,Adopted on 5/6/2025
29,SP0046,"H ""A"" (H-126 ) to C ""A"" (S-44 )",False,"Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council and the Calais Branch Rail Use Advisory Council",Defeated on 5/27/2025,
30,SP0047,"C ""A"" (S-45 )",True,"Resolve, to Direct the Department of Transportation to Implement the Recommendations of the Portland to Auburn Rail Use Advisory Council",Adopted on 5/27/2025,Adopted on 5/6/2025
30,SP0047,"H ""A"" (H-127 ) to C ""A"" (S-45 )",False,"Resolve, to Direct the Department of Transportation to Implement the Recommendations of the Portland to Auburn Rail Use Advisory Council",Defeated on 5/27/2025,
31,SP0048,"C ""A"" (S-36 )",True,,Adopted on 5/7/2025,Adopted on 5/6/2025
32,SP0049,"C ""A"" (S-587 )",True,An Act Regarding the Interconnection Ombudsman Position at the Public Utilities Commission,Adopted on 4/2/2026,Adopted on 3/30/2026
32,SP0049,"C ""B"" (S-588 )",False,An Act to Reverse Recent Modifications Made to the Law Governing Net Energy Billing and Distributed Generation,,
33,SP0051,"C ""A"" (S-50 )",True,,Adopted on 5/13/2025,Adopted on 5/7/2025
34,SP0053,"C ""A"" (S-213 )",True,,Adopted on 6/3/2025,Adopted on 6/2/2025
35,SP0056,"C ""A"" (S-415 )",False,An Act to Maximize Federal Funding in Support of Emergency Medical Services,,
36,SP0058,"C ""A"" (S-25 )",True,,Adopted on 4/29/2025,Adopted on 4/24/2025
38,SP0061,"C ""A"" (S-267 )",False,,,
39,HP0003,"C ""A"" (H-125 )",True,An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project,Adopted on 5/13/2025,Adopted on 5/14/2025
42,HP0006,"C ""A"" (H-695 )",True,,Adopted on 6/13/2025,Adopted on 6/13/2025
44,HP0008,"C ""A"" (H-344 )",True,,Adopted on 6/2/2025,Adopted on 6/2/2025
45,HP0009,"C ""A"" (H-646 )",True,,Adopted on 6/11/2025,Adopted on 6/12/2025
45,HP0009,"C ""B"" (H-647 )",False,,,
46,HP0010,"C ""A"" (H-430 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
46,HP0010,"S ""A"" (S-443 ) to C ""A"" (H-430 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
47,HP0011,"C ""A"" (H-46 )",True,,Adopted on 4/15/2025,Adopted on 4/17/2025
48,HP0012,"C ""A"" (H-36 )",True,,Adopted on 4/3/2025,Adopted on 4/8/2025
51,HP0015,"C ""A"" (H-208 )",True,,Adopted on 5/22/2025,Adopted on 5/22/2025
52,HP0016,"C ""A"" (H-667 )",True,"Resolve, Requiring the Department of Health and Human Services to Study Options for Allowing Children in the Department's Custody to Receive Federal Benefits",Adopted on 6/12/2025,Adopted on 6/13/2025
53,HP0017,"C ""A"" (H-91 )",True,An Act to Establish the November General Election Day as a School Holiday Applicable Only to Public School Buildings Used as Voting Places,Adopted on 5/6/2025,
54,HP0018,"C ""A"" (H-136 )",True,,Adopted on 5/13/2025,Adopted on 5/14/2025
54,HP0018,"S ""A"" (S-664 ) to C ""A"" (H-136 )",False,,,
54,HP0018,"H ""A"" (H-1050 ) to C ""A"" (H-136 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
55,HP0019,"C ""A"" (H-137 )",True,,Adopted on 5/13/2025,Adopted on 5/14/2025
57,HP0021,"C ""A"" (H-108 )",True,,Adopted on 5/7/2025,Adopted on 5/13/2025
59,HP0023,"C ""A"" (H-510 )",False,,,
59,HP0023,"C ""B"" (H-511 )",False,"Resolve, Directing the Maine Drug Enforcement Agency to Study Whether the Drug Tianeptine Should Be Added to the List of Scheduled Drugs",,
60,HP0024,"C ""A"" (H-266 )",True,,Adopted on 5/27/2025,Adopted on 5/28/2025
61,HP0025,"C ""A"" (H-213 )",True,,Adopted on 5/27/2025,Adopted on 5/28/2025
62,HP0026,"C ""A"" (H-391 )",True,An Act to Support Municipal and County Actions on Dam Ownership and to Make Other Changes to the Laws Regulating Release from Dam Ownership,Adopted on 6/2/2025,Adopted on 6/2/2025
63,HP0027,"C ""A"" (H-11 )",True,,Adopted on 3/4/2025,Adopted on 3/11/2025
64,HP0028,"C ""A"" (H-346 )",True,,Adopted on 6/2/2025,Adopted on 6/2/2025
65,HP0029,"C ""A"" (H-161 )",True,"An Act to Update the Definition of ""Coastal Wetlands"" Under the Natural Resources Protection Act and the Mandatory Shoreland Zoning Laws",Adopted on 5/20/2025,Adopted on 5/21/2025
66,HP0030,"C ""A"" (H-265 )",True,,Adopted on 5/27/2025,Adopted on 5/28/2025
67,HP0031,"C ""A"" (H-189 )",True,,Adopted on 5/20/2025,Adopted on 5/21/2025
68,HP0032,"C ""A"" (H-426 )",False,,,
70,HP0034,"C ""A"" (H-63 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
70,HP0034,"S ""A"" (S-444 ) to C ""A"" (H-63 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
77,HP0041,"C ""A"" (H-323 )",True,"An Act to Stabilize and Sustainably Fund the Department of Inland Fisheries and Wildlife, Fisheries and Hatcheries Division by Increasing the Inland Fishing License Fees and Establishing the Inland Fisheries Conservation and Enhancement Program",Adopted on 5/29/2025,
77,HP0041,"H ""A"" (H-641 ) to C ""A"" (H-323 )",False,"An Act to Stabilize and Sustainably Fund the Department of Inland Fisheries and Wildlife, Fisheries and Hatcheries Division by Establishing the Inland Fisheries Conservation and Enhancement Program",,
78,HP0042,"C ""A"" (H-113 )",True,"Resolve, Directing the Department of Education to Collect Data on Cursive Instruction in Maine Public Schools",Adopted on 5/13/2025,Adopted on 5/14/2025
82,HP0046,"C ""A"" (H-134 )",True,,Adopted on 5/13/2025,Adopted on 5/14/2025
83,HP0047,"C ""A"" (H-198 )",True,,Adopted on 5/20/2025,Adopted on 5/21/2025
84,HP0048,"C ""A"" (H-614 )",True,,Adopted on 6/10/2025,Adopted on 6/11/2025
87,HP0051,"C ""A"" (H-220 )",True,,Adopted on 5/22/2025,Adopted on 5/27/2025
88,HP0052,"C ""A"" (H-296 )",True,An Act Regarding Penalties for Violating the Maine Weights and Measures Law,Adopted on 5/28/2025,Adopted on 5/28/2025
89,HP0053,"C ""A"" (H-71 )",True,,Adopted on 4/29/2025,Adopted on 4/30/2025
89,HP0053,"C ""B"" (H-72 )",False,,,
90,HP0054,"C ""A"" (H-41 )",True,,Adopted on 4/8/2025,Adopted on 4/10/2025
92,HP0057,"C ""A"" (H-133 )",False,,,
93,HP0058,"C ""A"" (H-728 )",True,,Adopted on 6/16/2025,Adopted on 6/17/2025
93,HP0058,"S ""A"" (S-426 ) to C ""A"" (H-728 )",False,,,
95,HP0060,"C ""A"" (H-609 )",True,,Adopted on 6/10/2025,Adopted on 6/11/2025
96,HP0061,"C ""A"" (H-580 )",False,"An Act to Amend the Motor Vehicle and Traffic Law Governing Administrative Driver's License Suspensions for Refusing Testing for Alcohol, Drugs or a Combination of Drugs and Alcohol",,
96,HP0061,"C ""B"" (H-581 )",False,"An Act to Amend the Motor Vehicle and Traffic Law Governing Administrative Driver's License Suspensions for Refusing Testing for Alcohol, Drugs or a Combination of Drugs and Alcohol",,
98,HP0063,"C ""A"" (H-59 )",True,,Adopted on 4/22/2025,Adopted on 4/23/2025
99,HP0064,"C ""A"" (H-700 )",True,,Adopted on 6/13/2025,Adopted on 6/13/2025
101,HP0066,"C ""A"" (H-231 )",True,"Resolve, to Convene a Working Group to Examine the Classification of and Access to Public Records Maintained by Certain State Agencies",Adopted on 5/22/2025,Adopted on 5/22/2025
102,HP0067,"C ""A"" (H-849 )",True,An Act to Notify the Public of Juveniles That Have Escaped a Department of Corrections Facility and to Direct the Department of Corrections to Study the Further Release of Juvenile Intelligence and Investigative Record Information,Adopted on 3/17/2026,Adopted on 3/18/2026
102,HP0067,"C ""B"" (H-850 )",False,,,
105,HP0070,"C ""A"" (H-281 )",True,,Adopted on 5/28/2025,Adopted on 5/29/2025
107,HP0072,"C ""A"" (H-237 )",True,,Adopted on 5/22/2025,Adopted on 5/27/2025
108,HP0073,"C ""A"" (H-154 )",True,,Adopted on 5/20/2025,Adopted on 5/21/2025
108,HP0073,"C ""B"" (H-155 )",False,,,
109,HP0074,"C ""A"" (H-58 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
109,HP0074,"S ""A"" (S-445 ) to C ""A"" (H-58 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
110,HP0075,"C ""A"" (H-93 )",True,,Adopted on 5/6/2025,Adopted on 5/7/2025
111,HP0076,"C ""A"" (H-104 )",True,,Adopted on 5/7/2025,Adopted on 5/13/2025
112,HP0077,"C ""A"" (H-264 )",False,,,
115,SP0015,"C ""A"" (S-118 )",True,,,Adopted on 5/27/2025
117,SP0016,"C ""A"" (S-30 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
117,SP0016,"S ""A"" (S-446 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
120,SP0036,"C ""A"" (S-167 )",True,,Adopted on 5/29/2025,Adopted on 5/28/2025
121,SP0038,"C ""A"" (S-68 )",True,An Act to Amend the Maine Litter Control Act,Adopted on 5/14/2025,Adopted on 5/13/2025
122,SP0043,"C ""A"" (S-259 )",True,,Adopted on 6/5/2025,Adopted on 6/4/2025
124,SP0050,"C ""A"" (S-162 )",True,,Adopted on 5/29/2025,Adopted on 5/28/2025
125,SP0052,"C ""A"" (S-75 )",True,,Adopted on 6/9/2025,Adopted on 5/13/2025
126,SP0054,"C ""A"" (S-15 )",True,,Adopted on 4/22/2025,Adopted on 4/17/2025
127,SP0055,"C ""A"" (S-630 )",True,,Adopted on 4/29/2026,Adopted on 4/7/2026
127,SP0055,"C ""B"" (S-631 )",False,An Act to Establish the Government Oversight Committee's Access to Confidential Materials,,
127,SP0055,"H ""A"" (H-1074 ) to C ""A"" (S-630 )",True,,Adopted on 4/29/2026,
128,SP0057,"C ""A"" (S-494 )",True,,Adopted on 2/26/2026,Adopted on 2/12/2026
129,SP0060,"C ""A"" (S-290 )",True,,Adopted on 6/9/2025,Adopted on 6/5/2025
130,SP0066,"C ""A"" (S-28 )",True,,Adopted on 4/30/2025,Adopted on 4/29/2025
132,SP0068,"C ""A"" (S-178 )",False,,,
135,SP0071,"C ""A"" (S-53 )",True,,Adopted on 5/14/2025,Adopted on 5/13/2025
137,SP0073,"C ""A"" (S-194 )",True,,Adopted on 6/3/2025,Adopted on 6/2/2025
138,SP0074,"C ""A"" (S-210 )",True,An Act Regarding the Permitting of Projects Affecting Public-use Airports Under the Natural Resources Protection Act and the Site Location of Development Laws,Adopted on 6/2/2025,Adopted on 6/2/2025
139,SP0075,"C ""A"" (S-52 )",True,"Resolve, Directing the Department of Inland Fisheries and Wildlife to Study Establishing a Program for the Electronic Tagging of Deer",Adopted on 5/14/2025,Adopted on 5/13/2025
140,SP0076,"C ""A"" (S-280 )",True,,Adopted on 6/9/2025,Adopted on 6/5/2025
142,SP0078,"C ""A"" (S-94 )",True,"Resolve, Directing the Bureau of Financial Institutions to Issue Guidance Related to the Charging of Multiple Fees for Attempted Withdrawals Involving Insufficient Funds",Adopted on 5/22/2025,Adopted on 5/20/2025
143,SP0079,"C ""A"" (S-12 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
143,SP0079,"S ""A"" (S-447 )",False,,,
143,SP0079,"H ""A"" (H-783 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
144,SP0080,"C ""A"" (S-46 )",True,,Adopted on 5/13/2025,Adopted on 5/7/2025
145,SP0081,"C ""A"" (S-281 )",True,,Adopted on 4/14/2026,Adopted on 4/14/2026
145,SP0081,"S ""A"" (S-711 ) to C ""A"" (S-281 )",True,An Act to Provide Funding to the Office of Aging and Disability Services to Support the Long-term Care Ombudsman,Adopted on 4/14/2026,Adopted on 4/14/2026
145,SP0081,"H ""A"" (H-1072 ) to C ""A"" (S-281 )",False,An Act to Provide Funding to the Office of Aging and Disability Services to Support the Long-term Care Ombudsman,,
146,SP0082,"C ""A"" (S-76 )",True,,Adopted on 5/14/2025,Adopted on 5/13/2025
147,HP0080,"C ""A"" (H-530 )",False,,,
149,HP0082,"C ""A"" (H-529 )",False,,,
150,HP0083,"C ""A"" (H-528 )",False,,,
152,HP0085,"C ""A"" (H-558 )",False,,,
154,HP0087,"C ""A"" (H-75 )",True,,Adopted on 4/29/2025,Adopted on 4/30/2025
156,HP0089,"C ""A"" (H-650 )",True,,Adopted on 6/11/2025,Adopted on 6/12/2025
157,HP0090,"C ""A"" (H-232 )",True,,Adopted on 5/22/2025,Adopted on 5/22/2025
158,HP0091,"C ""A"" (H-150 )",True,An Act to Establish a Date to Begin Voting by Absentee Ballot in the Presence of the Clerk,Adopted on 5/20/2025,Adopted on 5/21/2025
159,HP0092,"C ""A"" (H-153 )",True,An Act to Require Motor Vehicle Certificates of Registration to Include a Space to List an Emergency Contact,Adopted on 5/20/2025,Adopted on 5/21/2025
160,HP0093,"C ""A"" (H-224 )",False,,,
161,HP0094,"C ""A"" (H-787 )",True,"Resolve, Directing the Maine Office of Community Affairs to Convene a Working Group Tasked with a Comprehensive Overhaul and Modernization of Maine's Subdivision Laws",Adopted on 2/3/2026,Adopted on 2/12/2026
163,HP0096,"C ""A"" (H-120 )",True,,Adopted on 5/13/2025,Adopted on 5/14/2025
165,HP0098,"C ""A"" (H-673 )",False,An Act to Modify Discipline Policies in Maine's Public Schools,,
166,HP0099,"C ""A"" (H-501 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
166,HP0099,"S ""A"" (S-448 ) to C ""A"" (H-501 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
167,HP0100,"C ""A"" (H-190 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
167,HP0100,"S ""A"" (S-449 ) to C ""A"" (H-190 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
169,HP0102,"C ""A"" (H-129 )",True,"Resolve, Establishing the Commission to Study MaineCare Estate Recovery",Adopted on 5/13/2025,Adopted on 5/14/2025
171,HP0104,"C ""A"" (H-79 )",True,An Act to Enhance Protections Regarding Invasive Aquatic Plant and Animal Infestations in Inland Waters of the State,Adopted on 4/30/2025,Adopted on 5/6/2025
172,HP0105,"C ""A"" (H-634 )",True,An Act to Require the Maine State Police to Create a Statewide List of Missing Persons and Study Improvements for Investigating Missing Persons Cases,Adopted on 6/11/2025,Adopted on 6/12/2025
172,HP0105,"H ""A"" (H-654 ) to C ""A"" (H-634 )",True,An Act to Require the Maine State Police to Create a Statewide List of Missing Persons and Study Improvements for Investigating Missing Persons Cases,Adopted on 6/11/2025,Adopted on 6/12/2025
173,HP0106,"C ""A"" (H-402 )",False,An Act to Amend the Laws Governing Fees for Operating Watercraft,,
176,HP0109,"C ""A"" (H-596 )",True,An Act to Authorize the Formation of Emergency Medical Services Districts,Adopted on 6/9/2025,Adopted on 6/10/2025
178,HP0111,"C ""A"" (H-272 )",True,An Act Regarding Coverage for Step Therapy for Metastatic Cancer,Adopted on 5/27/2025,Adopted on 5/28/2025
179,HP0112,"C ""A"" (H-685 )",False,"Resolve, to Study the Feasibility of Repealing the Class E Crime of Violation of Condition of Release",,
180,HP0113,"C ""A"" (H-643 )",True,An Act Regarding Reimbursements by Health Insurance Carriers or Pharmacy Benefits Managers to Pharmacies,Adopted on 6/11/2025,Adopted on 6/11/2025
182,HP0115,"C ""A"" (H-702 )",True,An Act to Provide Per Diem Payments for MaineCare Residents of the Maine Veterans' Homes,Adopted on 6/13/2025,Adopted on 6/13/2025
184,HP0117,"C ""A"" (H-726 )",True,,Adopted on 6/16/2025,
184,HP0117,"S ""A"" (S-425 ) to C ""A"" (H-726 )",False,,,
185,HP0118,"C ""A"" (H-255 )",True,,Adopted on 5/27/2025,Adopted on 5/28/2025
186,HP0119,"C ""A"" (H-318 )",True,,Adopted on 5/29/2025,Adopted on 6/2/2025
187,HP0120,"C ""A"" (H-103 )",False,An Act to Prohibit Public Labor Organizations from Imposing Mandatory Service Fees on Nonmembers,,
189,HP0122,"C ""A"" (H-95 )",False,,,
191,HP0124,"C ""A"" (H-943 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
192,HP0125,"C ""A"" (H-256 )",True,,Adopted on 5/27/2025,Adopted on 5/28/2025
195,SP0095,"C ""A"" (S-252 )",True,,Adopted on 6/18/2025,Adopted on 6/4/2025
197,SP0084,"C ""A"" (S-126 )",True,,Adopted on 6/3/2025,Adopted on 5/21/2025
197,SP0084,"S ""A"" (S-211 )",True,,Adopted on 6/3/2025,Adopted on 6/2/2025
202,SP0089,"C ""A"" (S-101 )",True,An Act to Increase the Number of Children a Child Care Provider May Care for Without Having to Be Licensed by the Department of Health and Human Services,Adopted on 5/22/2025,Adopted on 5/20/2025
206,SP0093,"C ""A"" (S-48 )",False,,,
208,HP0128,"C ""A"" (H-1032 )",False,"Resolve, Directing the Attorney General to Report on the Status of Beckwith v. Frey",,
209,HP0131,"C ""A"" (H-1 )",True,,Adopted on 3/11/2025,Adopted on 3/11/2025
209,HP0131,"H ""A"" (H-2 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"H ""B"" (H-3 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"H ""C"" (H-4 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"H ""D"" (H-5 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"H ""E"" (H-6 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"S ""A"" (S-1 ) to C ""A"" (H-1 )",False,,,Indefinitely postponed on 2/11/2025
209,HP0131,"H ""F"" (H-7 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"H ""G"" (H-8 ) to C ""A"" (H-1 )",False,,Indefinitely postponed on 2/11/2025,
209,HP0131,"S ""B"" (S-2 ) to C ""A"" (H-1 )",False,,,Indefinitely postponed on 2/11/2025
209,HP0131,"S ""C"" (S-3 ) to C ""A"" (H-1 )",False,,,Indefinitely postponed on 2/11/2025
209,HP0131,"S ""D"" (S-4 ) to C ""A"" (H-1 )",False,,,Indefinitely postponed on 2/11/2025
209,HP0131,"S ""E"" (S-5 ) to C ""A"" (H-1 )",False,,,Indefinitely postponed on 2/11/2025
209,HP0131,"H ""H"" (H-9 ) to C ""A"" (H-1 )",False,,,
209,HP0131,"H ""I"" (H-10 ) to C ""A"" (H-1 )",False,,,
209,HP0131,"S ""F"" (S-6 ) to C ""A"" (H-1 )",True,,Adopted on 3/11/2025,Adopted on 3/11/2025
210,HP0132,"C ""A"" (H-759 )",True,,Adopted on 6/18/2025,Adopted on 6/18/2025
210,HP0132,"H ""A"" (H-776 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"H ""B"" (H-777 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"S ""A"" (S-433 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"S ""B"" (S-434 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"H ""C"" (H-778 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"H ""D"" (H-781 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"S ""C"" (S-436 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"S ""D"" (S-437 ) to C ""A"" (H-759 )",False,,,
210,HP0132,"S ""E"" (S-438 ) to C ""A"" (H-759 )",True,,Adopted on 6/18/2025,Adopted on 6/18/2025
211,HP0134,"C ""A"" (H-273 )",True,"Resolve, Directing the Department of Education to Communicate to School Administrative Units and Private Schools the Importance of Adopting Seizure Action Plans",Adopted on 5/27/2025,Adopted on 5/28/2025
213,HP0136,"C ""A"" (H-184 )",True,,Adopted on 5/20/2025,
214,HP0137,"C ""A"" (H-214 )",True,,Adopted on 5/22/2025,Adopted on 5/27/2025
214,HP0137,"C ""B"" (H-215 )",False,,,
215,HP0138,"C ""A"" (H-645 )",True,An Act Regarding Large Recovery Residences,Adopted on 6/25/2025,Adopted on 6/25/2025
215,HP0138,"S ""A"" (S-369 ) to C ""A"" (H-645 )",True,An Act Regarding Large Recovery Residences,Adopted on 6/13/2025,Adopted on 6/12/2025
215,HP0138,"S ""B"" (S-450 ) to C ""A"" (H-645 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
220,HP0143,"C ""A"" (H-182 )",False,,,
221,HP0144,"C ""A"" (H-483 )",True,,Adopted on 6/4/2025,Adopted on 6/5/2025
222,HP0145,"C ""A"" (H-160 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
222,HP0145,"S ""A"" (S-451 ) to C ""A"" (H-160 )",True,,Adopted on 6/25/2025,Adopted on 6/25/2025
224,HP0147,"C ""A"" (H-97 )",True,,Adopted on 5/6/2025,Adopted on 5/7/2025
228,HP0151,"C ""A"" (H-164 )",True,,Adopted on 5/20/2025,Adopted on 5/21/2025
229,HP0152,"C ""A"" (H-649 )",True,,,Adopted on 6/12/2025
229,HP0152,"C ""B"" (H-1036 )",False,An Act to Bring Fairness in Income Taxes to Maine Families by Adjusting the Tax Brackets and Tax Rates and Bring Tax Relief to Maine Families by Changing Certain Tax Laws,,
233,HP0156,"C ""A"" (H-692 )",True,,Adopted on 6/13/2025,
238,SP0104,"C ""A"" (S-22 )",True,,Adopted on 4/24/2025,Adopted on 4/23/2025
239,SP0105,"C ""A"" (S-85 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
241,SP0107,"C ""A"" (S-82 )",True,,Adopted on 5/22/2025,Adopted on 5/21/2025
242,SP0108,"C ""A"" (S-154 )",True,,Adopted on 5/29/2025,Adopted on 5/28/2025
244,SP0110,"C ""A"" (S-411 )",True,"Resolve, to Provide Safe, Short-term Housing to Individuals Recently Released from Correctional Facilities",Adopted on 6/17/2025,Adopted on 6/16/2025
245,SP0111,"C ""A"" (S-372 )",True,,Adopted on 6/13/2025,Adopted on 6/12/2025
246,SP0112,"C ""A"" (S-253 )",True,,Adopted on 6/5/2025,Adopted on 6/4/2025
246,SP0112,"C ""B"" (S-254 )",False,,,
249,SP0116,"C ""A"" (S-98 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
251,SP0118,"C ""A"" (S-49 )",True,,Adopted on 5/13/2025,Adopted on 5/7/2025
253,HP0162,"C ""A"" (H-593 )",False,,,
255,SP0122,"C ""A"" (S-121 )",True,,Adopted on 5/22/2025,Adopted on 5/21/2025
259,SP0126,"C ""A"" (S-326 )",True,,Adopted on 6/10/2025,Adopted on 6/9/2025
260,HP0163,"C ""A"" (H-40 )",True,,Adopted on 4/17/2025,Adopted on 4/22/2025
261,HP0164,"C ""A"" (H-295 )",True,,Adopted on 6/4/2025,Adopted on 6/5/2025
261,HP0164,"H ""A"" (H-500 ) to C ""A"" (H-295 )",True,,Adopted on 6/4/2025,Adopted on 6/5/2025
264,HP0167,"C ""A"" (H-730 )",True,,Adopted on 6/16/2025,Adopted on 6/16/2025
264,HP0167,"C ""B"" (H-731 )",False,An Act to Waive the 12-month Waiting Period for the Maine Resident Homestead Property Tax Exemption for Certain Heirs of Property for Which an Exemption Was Established,,
265,HP0168,"C ""A"" (H-70 )",False,,,
266,HP0169,"C ""A"" (H-187 )",False,An Act to Notify Registered Voters When the Voters' Signatures on a Petition Contain Material Irregularities,,
267,HP0170,"C ""A"" (H-107 )",True,,Adopted on 5/7/2025,Adopted on 5/13/2025
269,HP0172,"C ""A"" (H-356 )",True,,Adopted on 6/2/2025,Adopted on 6/2/2025
270,HP0173,"C ""A"" (H-123 )",True,,Adopted on 5/13/2025,Adopted on 5/14/2025
271,HP0174,"C ""A"" (H-38 )",True,,Adopted on 4/8/2025,Adopted on 4/10/2025
272,HP0175,"C ""A"" (H-37 )",True,,Adopted on 4/8/2025,Adopted on 4/10/2025
273,HP0176,"C ""A"" (H-567 )",True,An Act Related to the Issuance of Subpoena Power to Entities Created by Executive Order,Adopted on 6/9/2025,Adopted on 6/9/2025
274,HP0178,"C ""A"" (H-14 )",True,,Adopted on 3/20/2025,Adopted on 3/20/2025
274,HP0178,"H ""A"" (H-22 ) to C ""A"" (H-14 )",True,,Adopted on 3/20/2025,Adopted on 3/20/2025
275,HP0179,"C ""A"" (H-12 )",True,,Adopted on 3/11/2025,Adopted on 3/18/2025
276,HP0180,"C ""A"" (H-938 )",True,An Act Related to All-terrain Vehicle Registration,Adopted on 4/2/2026,Adopted on 4/6/2026
277,HP0181,"C ""A"" (H-251 )",True,An Act to Amend the Law Prohibiting Places of Business from Being Open to the Public on Sundays and Holidays,Adopted on 6/3/2025,
