ld,paper,label,adopted,new_title,house_action,senate_action
1987,HP1335,"S ""A"" (S-421 )",True,,Adopted on 6/17/2025,Adopted on 6/17/2025
1987,HP1335,"S ""B"" (S-435 )",True,,Adopted on 6/18/2025,Adopted on 6/18/2025
1989,SP0801,"C ""A"" (S-512 )",True,,Adopted on 3/3/2026,Adopted on 2/24/2026
1990,SP0802,"C ""A"" (S-503 )",True,,Adopted on 3/3/2026,Adopted on 2/24/2026
1991,SP0803,"C ""A"" (S-516 )",True,,Adopted on 3/5/2026,Adopted on 2/26/2026
1993,SP0806,"C ""A"" (S-524 )",True,,Adopted on 3/12/2026,Adopted on 3/5/2026
1993,SP0806,"C ""B"" (S-525 )",False,,,
1995,SP0808,"C ""A"" (S-498 )",True,,Adopted on 2/26/2026,Adopted on 2/12/2026
1996,SP0809,"C ""A"" (S-555 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
1997,SP0810,"C ""A"" (S-497 )",True,,Adopted on 2/24/2026,Adopted on 2/10/2026
1999,SP0812,"C ""A"" (S-493 )",True,,Adopted on 2/26/2026,Adopted on 2/12/2026
2000,SP0814,"C ""A"" (S-542 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2001,SP0815,"C ""A"" (S-536 )",True,,Adopted on 3/17/2026,Adopted on 3/10/2026
2002,SP0816,"C ""A"" (S-574 )",True,"An Act to Extend the Maine Lobster Marketing Collaborative to December 31, 2028",Adopted on 3/25/2026,Adopted on 3/24/2026
2003,SP0819,"C ""A"" (S-526 )",True,,Adopted on 3/12/2026,Adopted on 3/5/2026
2003,SP0819,"S ""A"" (S-685 ) to C ""A"" (S-526 )",False,,,
2003,SP0819,"H ""A"" (H-1055 ) to C ""A"" (S-526 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2005,SP0821,"C ""A"" (S-597 )",True,,Adopted on 4/2/2026,Adopted on 3/31/2026
2006,SP0822,"C ""A"" (S-490 )",True,,Adopted on 2/10/2026,Adopted on 1/27/2026
2007,SP0825,"C ""A"" (S-529 )",True,,Adopted on 3/26/2026,Adopted on 3/10/2026
2008,SP0827,"C ""A"" (S-537 )",True,An Act to Provide Funding to the Maine School of Science and Mathematics,Adopted on 4/13/2026,Adopted on 4/13/2026
2008,SP0827,"S ""A"" (S-698 ) to C ""A"" (S-537 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2009,SP0828,"C ""A"" (S-590 )",True,An Act to Clarify the Requirements of a County Audit,Adopted on 3/31/2026,Adopted on 3/30/2026
2012,HP1342,"C ""A"" (H-966 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
2013,HP1343,"C ""A"" (H-856 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2015,HP1345,"C ""A"" (H-839 )",True,,Adopted on 3/12/2026,Adopted on 3/17/2026
2017,HP1347,"C ""A"" (H-829 )",True,,Adopted on 3/5/2026,Adopted on 3/10/2026
2018,HP1348,"C ""A"" (H-948 )",True,,Adopted on 4/2/2026,Adopted on 4/8/2026
2018,HP1348,"C ""B"" (H-949 )",False,,,
2023,HP1353,"C ""A"" (H-859 )",True,,Adopted on 3/18/2026,Adopted on 3/19/2026
2024,HP1354,"C ""A"" (H-812 )",True,,Adopted on 2/26/2026,Adopted on 3/3/2026
2025,HP1355,"C ""A"" (H-951 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
2025,HP1355,"H ""A"" (H-961 ) to C ""A"" (H-951 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
2030,HP1360,"C ""A"" (H-852 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2031,HP1361,"C ""A"" (H-854 )",False,An Act to Offer Certain Disabled Military Veterans a 50 Percent Discount on the License Fee for a Commercial Shellfish License,,
2032,HP1362,"C ""A"" (H-796 )",True,,Adopted on 2/10/2026,Adopted on 2/10/2026
2035,HP1365,"C ""A"" (H-822 )",True,,Adopted on 3/3/2026,Adopted on 3/5/2026
2036,HP1366,"C ""A"" (H-915 )",False,,,
2038,HP1368,"C ""A"" (H-880 )",True,,Adopted on 3/30/2026,Adopted on 3/26/2026
2038,HP1368,"S ""A"" (S-585 ) to C ""A"" (H-880 )",True,,Adopted on 3/30/2026,Adopted on 3/26/2026
2040,HP1370,"C ""A"" (H-815 )",True,"Resolve, to Study Food Insecurity Measures in Maine",Adopted on 3/3/2026,Adopted on 3/5/2026
2041,HP1371,"C ""A"" (H-792 )",True,An Act to Increase the Debt Limit of the North Jay Water District,Adopted on 2/3/2026,Adopted on 2/10/2026
2042,SP0831,"C ""A"" (S-573 )",True,An Act to Clarify the Requirement for Municipalities to Provide Public Notice in a Newspaper,Adopted on 3/25/2026,Adopted on 3/24/2026
2044,SP0837,"C ""A"" (S-639 )",True,An Act to Make the Biofuel Commercial Production and Commercial Use Tax Credit and the Renewable Chemicals Tax Credit Refundable,Adopted on 4/8/2026,Adopted on 4/7/2026
2046,SP0839,"C ""A"" (S-560 )",True,,Adopted on 3/24/2026,Adopted on 3/18/2026
2051,HP1375,"C ""A"" (H-894 )",True,,Adopted on 3/26/2026,Adopted on 3/30/2026
2052,HP1376,"C ""A"" (H-841 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2053,HP1377,"C ""A"" (H-797 )",True,An Act to Improve Safety by Allowing the Use of Variable-message Signs on Certain Vehicles,Adopted on 2/10/2026,Adopted on 2/10/2026
2054,HP1378,"C ""A"" (H-976 )",True,,Adopted on 4/9/2026,Adopted on 4/14/2026
2054,HP1378,"S ""A"" (S-643 ) to C ""A"" (H-976 )",False,,,
2054,HP1378,"S ""B"" (S-644 ) to C ""A"" (H-976 )",False,,,
2054,HP1378,"H ""A"" (H-1005 ) to C ""A"" (H-976 )",False,,,
2054,HP1378,"H ""B"" (H-1038 ) to C ""A"" (H-976 )",True,,Adopted on 4/9/2026,Adopted on 4/14/2026
2055,HP1379,"C ""A"" (H-799 )",True,,Adopted on 2/24/2026,Adopted on 2/26/2026
2056,SP0843,"C ""A"" (S-538 )",True,,,Adopted on 3/17/2026
2056,SP0843,"H ""A"" (H-844 )",False,,,
2057,SP0844,"C ""A"" (S-575 )",True,An Act to Support Rehabilitation and Development of Affordable Housing,Adopted on 3/25/2026,Adopted on 3/24/2026
2057,SP0844,"C ""B"" (S-576 )",False,An Act to Support Rehabilitation and Development of Affordable Housing,,
2058,SP0845,"C ""A"" (S-594 )",True,An Act to Clarify the Requirement That Municipal and County Jails Be Available at All Times for Detention of Arrested Persons,Adopted on 3/31/2026,Adopted on 3/30/2026
2059,SP0852,"C ""A"" (S-506 )",True,An Act to Provide Required Funding for the Reimbursement of Assigned Counsel,Adopted on 3/3/2026,Adopted on 2/24/2026
2059,SP0852,"C ""B"" (S-507 )",False,An Act to Provide Required Funding for the Reimbursement of Assigned Counsel and to Prohibit Collective Bargaining by Public Defenders and Employed Counsel,,
2059,SP0852,"H ""A"" (H-824 ) to C ""A"" (S-506 )",False,An Act to Provide Required Funding for the Reimbursement of Assigned Counsel,,
2060,SP0846,"C ""A"" (S-545 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2061,SP0847,"C ""A"" (S-519 )",True,,Adopted on 3/10/2026,Adopted on 3/3/2026
2062,SP0849,"C ""A"" (S-532 )",True,,Adopted on 3/17/2026,Adopted on 3/10/2026
2063,SP0851,"C ""A"" (S-508 )",True,,Adopted on 3/12/2026,Adopted on 3/5/2026
2063,SP0851,"C ""B"" (S-509 )",False,,,
2064,SP0853,"C ""A"" (S-568 )",True,,Adopted on 3/25/2026,Adopted on 3/24/2026
2066,SP0855,"C ""A"" (S-513 )",True,,Adopted on 3/5/2026,Adopted on 3/5/2026
2066,SP0855,"C ""B"" (S-514 )",True,,,Adopted on 2/26/2026
2067,SP0856,"C ""A"" (S-617 )",True,An Act to Include Community Mental Health Workers Under the 1998 Special Plan for Retirement,Adopted on 4/6/2026,Adopted on 4/6/2026
2068,HP1381,"C ""A"" (H-793 )",True,,Adopted on 2/3/2026,Adopted on 2/10/2026
2070,HP1383,"C ""A"" (H-927 )",True,An Act to Improve the Management of Landfill Leachate and Wastewater Treatment Plant Sludge at Solid Waste Landfills,Adopted on 3/31/2026,Adopted on 4/2/2026
2071,HP1384,"C ""A"" (H-956 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
