ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
2064,SP0853,House,671,2026-03-25,ACC MAJ OTP AS AMENDED REP,PREVAILS,74,66,9,1,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100982&chamber=House&serialnumber=671
2066,SP0855,House,635,2026-03-05,"AC OTP-AM BY CA ""A""",PREVAILS,72,68,9,1,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100984&chamber=House&serialnumber=635
2067,SP0856,Senate,871,2026-04-06,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,23,9,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100985&chamber=Senate&serialnumber=871
2071,HP1384,Senate,876,2026-04-06,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,29,3,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100989&chamber=Senate&serialnumber=876
2071,HP1384,House,714,2026-04-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,96,48,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100989&chamber=House&serialnumber=714
2077,HP1392,Senate,868,2026-04-06,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,12,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101124&chamber=Senate&serialnumber=868
2077,HP1392,House,715,2026-04-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,66,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101124&chamber=House&serialnumber=715
2078,HP1393,House,646,2026-03-12,Enactment - Emer,PREVAILS,136,0,13,1,1,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101125&chamber=House&serialnumber=646
2079,HP1394,Senate,747,2026-03-10,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,18,13,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101129&chamber=Senate&serialnumber=747
2079,HP1394,House,638,2026-03-05,ACC MAJ OUGHT TO PASS REP,PREVAILS,72,70,7,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101129&chamber=House&serialnumber=638
2080,HP1395,House,662,2026-03-18,ACC MAJ OTP AS AMENDED REP,PREVAILS,90,53,6,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101130&chamber=House&serialnumber=662
2088,HP1403,House,664,2026-03-24,Enactment - Emer,PREVAILS,118,25,6,1,1,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101144&chamber=House&serialnumber=664
2089,HP1404,Senate,903,2026-04-07,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,15,19,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101146&chamber=Senate&serialnumber=903
2089,HP1404,House,723,2026-04-02,ACC MAJ OTP AS AMENDED REP,FAILS,72,74,4,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101146&chamber=House&serialnumber=723
2094,HP1409,Senate,829,2026-03-30,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=Senate&serialnumber=829
