ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
5,SP0014,House,79,2025-04-10,ACC MAJ OUGHT TO PASS REP,PREVAILS,144,0,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095522&chamber=House&serialnumber=79
6,SP0018,House,105,2025-04-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,140,0,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095526&chamber=House&serialnumber=105
14,SP0027,House,142,2025-05-14,acceptance of the otp-am report,PREVAILS,121,18,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095535&chamber=House&serialnumber=142
16,SP0063,Senate,167,2025-05-14,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=167
16,SP0063,Senate,184,2025-05-20,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,FAILS,14,18,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=184
16,SP0063,Senate,253,2025-05-28,INSIST/ASK FOR COMMITTEE OF CONFERENCE,FAILS,14,19,0,2,0,0,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=253
16,SP0063,House,174,2025-05-22,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,76,65,10,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=House&serialnumber=174
16,SP0063,House,226,2025-05-29,RECONSIDER,FAILS,68,73,10,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=House&serialnumber=226
19,SP0032,Senate,877,2026-04-06,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,FAILS,5,27,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095543&chamber=Senate&serialnumber=877
19,SP0032,House,739,2026-04-07,"acc report ""a"" otp-am by ca ""a""",FAILS,70,75,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095543&chamber=House&serialnumber=739
21,SP0034,Senate,204,2025-05-21,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095545&chamber=Senate&serialnumber=204
21,SP0034,House,169,2025-05-22,ACC MAJ OUGHT TO PASS REP,PREVAILS,79,65,7,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095545&chamber=House&serialnumber=169
29,SP0046,House,184,2025-05-27,ACC MAJ OTP AS AMENDED REP,PREVAILS,116,26,9,0,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095557&chamber=House&serialnumber=184
29,SP0046,House,185,2025-05-27,ADOPT HAH-126 to CAS-44,FAILS,26,114,11,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095557&chamber=House&serialnumber=185
30,SP0047,House,182,2025-05-27,ACC MAJ OTP AS AMENDED REP,PREVAILS,118,26,7,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095558&chamber=House&serialnumber=182
30,SP0047,House,183,2025-05-27,ADOPT HAH-127 to CAS-45,FAILS,26,116,9,0,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095558&chamber=House&serialnumber=183
32,SP0049,Senate,826,2026-03-30,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,12,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095560&chamber=Senate&serialnumber=826
32,SP0049,House,709,2026-04-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,68,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095560&chamber=House&serialnumber=709
34,SP0053,House,285,2025-06-03,ACC MAJ OTP AS AMENDED REP,PREVAILS,80,65,6,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095564&chamber=House&serialnumber=285
38,SP0061,Senate,355,2025-06-04,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095578&chamber=Senate&serialnumber=355
38,SP0061,House,337,2025-06-05,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,72,69,8,2,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095578&chamber=House&serialnumber=337
48,HP0012,House,67,2025-04-03,OTP-AM,PREVAILS,142,0,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095599&chamber=House&serialnumber=67
54,HP0018,Senate,162,2025-05-14,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095589&chamber=Senate&serialnumber=162
54,HP0018,House,125,2025-05-13,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,69,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095589&chamber=House&serialnumber=125
56,HP0020,Senate,99,2025-04-10,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095593&chamber=Senate&serialnumber=99
56,HP0020,House,70,2025-04-08,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,76,69,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095593&chamber=House&serialnumber=70
59,HP0023,Senate,386,2025-06-05,ACCEPT REPORT 'B' OUGHT NOT TO PASS,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095600&chamber=Senate&serialnumber=386
59,HP0023,House,351,2025-06-05,"ACC REPORT ""B"" ONTP",PREVAILS,71,68,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095600&chamber=House&serialnumber=351
60,HP0024,Senate,238,2025-05-28,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095601&chamber=Senate&serialnumber=238
60,HP0024,House,194,2025-05-27,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,64,14,0,0,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095601&chamber=House&serialnumber=194
61,HP0025,Senate,239,2025-05-28,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095602&chamber=Senate&serialnumber=239
61,HP0025,House,197,2025-05-27,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,63,15,0,0,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095602&chamber=House&serialnumber=197
66,HP0030,Senate,240,2025-05-28,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,22,12,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095615&chamber=Senate&serialnumber=240
68,HP0032,Senate,375,2025-06-05,ACCEPT REPORT 'A' OUGHT TO PASS,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095619&chamber=Senate&serialnumber=375
68,HP0032,House,331,2025-06-04,"ACC REPORT ""A"" OTP",PREVAILS,73,66,12,0,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095619&chamber=House&serialnumber=331
69,HP0033,Senate,100,2025-04-10,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095621&chamber=Senate&serialnumber=100
69,HP0033,House,71,2025-04-08,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,77,67,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095621&chamber=House&serialnumber=71
70,HP0034,Senate,124,2025-04-23,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095624&chamber=Senate&serialnumber=124
70,HP0034,House,94,2025-04-22,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,66,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095624&chamber=House&serialnumber=94
70,HP0034,House,588,2025-06-25,RECEDE AND CONCUR,PREVAILS,73,67,9,2,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095624&chamber=House&serialnumber=588
70,HP0034,House,601,2025-06-25,Enactment,PREVAILS,70,62,17,2,0,67,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095624&chamber=House&serialnumber=601
72,HP0036,Senate,78,2025-03-27,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,30,3,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095628&chamber=Senate&serialnumber=78
72,HP0036,House,57,2025-03-25,ACC MAJ OUGHT TO PASS REP,PREVAILS,83,60,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095628&chamber=House&serialnumber=57
73,HP0037,Senate,79,2025-03-27,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,27,6,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095631&chamber=Senate&serialnumber=79
73,HP0037,House,58,2025-03-25,ACC MAJ OUGHT TO PASS REP,PREVAILS,85,58,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095631&chamber=House&serialnumber=58
74,HP0038,Senate,76,2025-03-27,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,24,9,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095629&chamber=Senate&serialnumber=76
74,HP0038,House,55,2025-03-25,ACC MAJ OUGHT TO PASS REP,PREVAILS,78,64,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095629&chamber=House&serialnumber=55
77,HP0041,Senate,283,2025-06-02,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,11,23,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095607&chamber=Senate&serialnumber=283
77,HP0041,House,243,2025-05-29,ACC MAJ OTP AS AMENDED REP,PREVAILS,76,70,5,0,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095607&chamber=House&serialnumber=243
80,HP0044,Senate,93,2025-04-08,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,24,8,1,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095613&chamber=Senate&serialnumber=93
82,HP0046,House,161,2025-05-20,Enactment - Mandate,PREVAILS,134,6,11,0,0,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095616&chamber=House&serialnumber=161
86,HP0050,Senate,186,2025-05-20,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095623&chamber=Senate&serialnumber=186
86,HP0050,House,109,2025-05-06,ACC MAJ OUGHT TO PASS REP,PREVAILS,72,68,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095623&chamber=House&serialnumber=109
87,HP0051,Senate,227,2025-05-27,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095625&chamber=Senate&serialnumber=227
92,HP0057,Senate,158,2025-05-14,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095651&chamber=Senate&serialnumber=158
92,HP0057,House,121,2025-05-13,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,73,68,9,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095651&chamber=House&serialnumber=121
93,HP0058,Senate,587,2025-06-16,TABLE UNTIL LATER,PREVAILS,23,12,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095652&chamber=Senate&serialnumber=587
93,HP0058,Senate,599,2025-06-17,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095652&chamber=Senate&serialnumber=599
93,HP0058,Senate,600,2025-06-17,ADOPT SENATE AMENDMENT (S-426) to COMMITTEE AMENDMENT,FAILS,14,19,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095652&chamber=Senate&serialnumber=600
93,HP0058,House,526,2025-06-16,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,69,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095652&chamber=House&serialnumber=526
93,HP0058,House,556,2025-06-17,Enactment,PREVAILS,78,70,1,2,0,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095652&chamber=House&serialnumber=556
96,HP0061,Senate,452,2025-06-11,ACCEPT REPORT 'A' OUGHT NOT TO PASS,PREVAILS,18,16,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095657&chamber=Senate&serialnumber=452
96,HP0061,House,410,2025-06-10,"ACC REPORT ""A"" ONTP",PREVAILS,73,72,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095657&chamber=House&serialnumber=410
98,HP0063,Senate,122,2025-04-23,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,13,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095661&chamber=Senate&serialnumber=122
100,HP0065,Senate,80,2025-03-27,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,19,14,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095665&chamber=Senate&serialnumber=80
100,HP0065,House,59,2025-03-25,ACC MAJ OUGHT TO PASS REP,PREVAILS,78,66,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095665&chamber=House&serialnumber=59
100,HP0065,House,64,2025-04-01,Enactment,PREVAILS,72,68,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095665&chamber=House&serialnumber=64
102,HP0067,House,653,2026-03-17,"acc otp-am by ca ""a""",PREVAILS,76,65,8,1,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095669&chamber=House&serialnumber=653
109,HP0074,Senate,123,2025-04-23,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095662&chamber=Senate&serialnumber=123
109,HP0074,House,93,2025-04-22,ACC MAJ OTP AS AMENDED REP,PREVAILS,80,64,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095662&chamber=House&serialnumber=93
109,HP0074,House,589,2025-06-25,RECEDE AND CONCUR,PREVAILS,75,64,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095662&chamber=House&serialnumber=589
112,HP0077,House,195,2025-05-27,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,77,61,13,0,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095668&chamber=House&serialnumber=195
115,SP0015,Senate,232,2025-05-27,ACCEPT MINORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,17,16,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095523&chamber=Senate&serialnumber=232
115,SP0015,Senate,270,2025-05-29,PASSAGE TO BE ENGROSSED AS AMENDED,FAILS,16,19,0,0,0,0,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095523&chamber=Senate&serialnumber=270
115,SP0015,House,250,2025-06-02,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,77,59,15,0,0,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095523&chamber=House&serialnumber=250
117,SP0016,House,114,2025-05-06,Enactment,PREVAILS,136,0,14,0,1,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095524&chamber=House&serialnumber=114
122,SP0043,Senate,348,2025-06-04,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,34,0,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095554&chamber=Senate&serialnumber=348
125,SP0052,Senate,148,2025-05-13,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,FAILS,14,20,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095563&chamber=Senate&serialnumber=148
125,SP0052,House,383,2025-06-09,ACC MAJ OUGHT NOT TO PASS REP,FAILS,42,104,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095563&chamber=House&serialnumber=383
127,SP0055,Senate,900,2026-04-07,ACCEPT MINORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,10,24,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=Senate&serialnumber=900
127,SP0055,Senate,963,2026-04-29,RECEDE AND CONCUR,PREVAILS,22,9,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=Senate&serialnumber=963
127,SP0055,House,819,2026-04-14,ACC MIN OTP-AM BY CA-B,FAILS,69,75,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=House&serialnumber=819
127,SP0055,House,820,2026-04-14,suspend house rule 515,FAILS,72,72,6,0,1,96,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=House&serialnumber=820
127,SP0055,House,824,2026-04-14,recon of maj rep otp-am by ca-a,PREVAILS,74,70,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=House&serialnumber=824
127,SP0055,House,825,2026-04-14,suspension of house rule 515,FAILS,74,71,5,0,1,97,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095566&chamber=House&serialnumber=825
128,SP0057,Senate,717,2026-02-12,ACCEPT REPORT,PREVAILS,23,9,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095570&chamber=Senate&serialnumber=717
132,SP0068,Senate,286,2025-06-02,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,29,6,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095641&chamber=Senate&serialnumber=286
142,SP0078,Senate,180,2025-05-20,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,28,4,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095730&chamber=Senate&serialnumber=180
143,SP0079,Senate,115,2025-04-17,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=Senate&serialnumber=115
143,SP0079,Senate,640,2025-06-25,SUSPEND RULES (2/3),FAILS,18,14,0,3,0,22,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=Senate&serialnumber=640
143,SP0079,Senate,649,2025-06-25,RECEDE AND CONCUR,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=Senate&serialnumber=649
143,SP0079,Senate,651,2025-06-25,ENACTMENT,PREVAILS,19,14,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=Senate&serialnumber=651
143,SP0079,House,92,2025-04-22,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,66,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=House&serialnumber=92
143,SP0079,House,98,2025-04-23,Enactment,PREVAILS,75,64,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=House&serialnumber=98
143,SP0079,House,599,2025-06-25,RECEDE,PREVAILS,73,66,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=House&serialnumber=599
143,SP0079,House,602,2025-06-25,Enactment,PREVAILS,73,66,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095733&chamber=House&serialnumber=602
147,HP0080,Senate,423,2025-06-09,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095742&chamber=Senate&serialnumber=423
147,HP0080,House,374,2025-06-09,ACC MAJ OTP AS AMENDED REP,FAILS,69,77,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095742&chamber=House&serialnumber=374
149,HP0082,Senate,424,2025-06-09,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,16,18,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095745&chamber=Senate&serialnumber=424
149,HP0082,House,375,2025-06-09,ACC MAJ OTP AS AMENDED REP,FAILS,66,79,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095745&chamber=House&serialnumber=375
150,HP0083,Senate,455,2025-06-11,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,16,17,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095747&chamber=Senate&serialnumber=455
150,HP0083,House,377,2025-06-09,ACC MAJ OTP AS AMENDED REP,FAILS,70,75,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095747&chamber=House&serialnumber=377
152,HP0085,House,360,2025-06-09,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,122,21,6,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095751&chamber=House&serialnumber=360
160,HP0093,House,167,2025-05-22,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,109,34,8,0,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095768&chamber=House&serialnumber=167
161,HP0094,Senate,719,2026-02-12,ACCEPT REPORT,PREVAILS,29,3,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095740&chamber=Senate&serialnumber=719
163,HP0096,Senate,160,2025-05-14,ACCEPT MINORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095744&chamber=Senate&serialnumber=160
163,HP0096,House,124,2025-05-13,ACC MIN OTP AS AMENDED REP,PREVAILS,73,69,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095744&chamber=House&serialnumber=124
165,HP0098,House,473,2025-06-13,"ACC REPORT ""A"" ONTP",PREVAILS,75,72,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095748&chamber=House&serialnumber=473
166,HP0099,Senate,392,2025-06-09,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,12,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095749&chamber=Senate&serialnumber=392
166,HP0099,Senate,650,2025-06-25,ENACTMENT,PREVAILS,17,16,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095749&chamber=Senate&serialnumber=650
166,HP0099,House,343,2025-06-05,ACC MAJ OTP AS AMENDED REP,PREVAILS,72,68,9,2,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095749&chamber=House&serialnumber=343
166,HP0099,House,590,2025-06-25,RECEDE AND CONCUR,PREVAILS,71,68,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095749&chamber=House&serialnumber=590
173,HP0106,House,325,2025-06-04,ACC MIN OUGHT NOT TO PASS REP,PREVAILS,73,70,8,0,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095761&chamber=House&serialnumber=325
174,HP0107,Senate,207,2025-05-21,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,17,14,1,3,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095762&chamber=Senate&serialnumber=207
174,HP0107,House,110,2025-05-06,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,73,67,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095762&chamber=House&serialnumber=110
179,HP0112,House,484,2025-06-13,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,112,32,5,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095794&chamber=House&serialnumber=484
182,HP0115,Senate,656,2025-06-25,SUSPEND RULES (2/3),FAILS,16,17,0,2,0,22,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095797&chamber=Senate&serialnumber=656
182,HP0115,House,487,2025-06-13,ACC OUGHT TO PASS AS AMEND REP,PREVAILS,143,0,6,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095797&chamber=House&serialnumber=487
184,HP0117,Senate,578,2025-06-16,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095799&chamber=Senate&serialnumber=578
184,HP0117,House,517,2025-06-16,ACC MAJ OUGHT NOT TO PASS REP,FAILS,63,82,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095799&chamber=House&serialnumber=517
184,HP0117,House,548,2025-06-17,RECEDE AND CONCUR,PREVAILS,73,72,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095799&chamber=House&serialnumber=548
186,HP0119,Senate,281,2025-06-02,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095809&chamber=Senate&serialnumber=281
186,HP0119,House,240,2025-05-29,ACC MAJ OTP AS AMENDED REP,PREVAILS,77,69,5,0,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095809&chamber=House&serialnumber=240
186,HP0119,House,253,2025-06-02,Enactment,PREVAILS,74,66,11,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095809&chamber=House&serialnumber=253
187,HP0120,Senate,143,2025-05-13,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,12,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095801&chamber=Senate&serialnumber=143
187,HP0120,House,118,2025-05-07,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,76,64,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095801&chamber=House&serialnumber=118
